epoch,train_total,train_reconstruction,train_kl,validation_total,validation_reconstruction,validation_kl
1,269.25051791268805,265.75800026674625,34.9251698210416,237.71724963378907,233.92410599772134,37.9314465230306
2,232.67366135886863,228.89052330186632,37.83137810827185,230.58220727539063,226.81918233235677,37.6302566019694
3,226.6844698667173,222.79785866518372,38.86611201420537,225.48820638020834,221.5116728922526,39.76533924357096
4,223.19658586968316,219.23468380624277,39.6190217590332,223.31460583496093,219.37987967936198,39.34726251220703
5,221.17641303168404,217.1909805501302,39.85432514218931,221.6123955078125,217.7012412109375,39.11153591918945
6,219.83377679669417,215.836377690068,39.97399243051034,220.45965604654947,216.42988407389322,40.29773158772787
7,218.81232214807582,214.79858494737414,40.13737330118815,219.873342976888,215.8403027750651,40.33040294392904
8,218.0628410192419,214.05006531665944,40.12776040423358,219.74268570963542,215.61910469563801,41.23580770874023
9,217.4099034559462,213.3847414550781,40.25162073206018,218.38641638183594,214.33258247884115,40.53833536783854
10,216.92261178023728,212.90120921495225,40.21402418800636,218.02397338867186,214.0638809000651,39.6009125773112
11,216.49996514666523,212.4818434516059,40.181215030246314,217.74779016113283,213.70860900878907,40.39181729125976
12,216.11160171169706,212.09762394205728,40.13978058200412,217.35154923502606,213.30405338541667,40.47497817993164
13,215.75876220251013,211.7398833505136,40.18879126767759,217.12258345540366,213.1395477294922,39.83037334187826
14,215.4736755371094,211.46251060655382,40.111654479980466,216.7811638997396,212.75633150227864,40.24832894897461
15,215.23602638075087,211.2264280101635,40.0959850769043,216.7579148763021,212.7795919189453,39.783237569173174
16,214.9874723352503,210.98012506781683,40.073469193070025,216.5290594075521,212.519944539388,40.09114997355143
17,214.78469659649883,210.78048440664787,40.04211905924479,216.6958153483073,212.70332963053386,39.92485450236003
18,214.57527900300204,210.5763491708261,39.98929591087059,216.3130782063802,212.27110506184897,40.41973309326172
19,214.4108328269676,210.41801565664787,39.92817295215748,215.99373518880208,211.99871883138022,39.95016211954753
20,214.2059554398148,210.21292900028936,39.93026285016095,215.86444698079427,211.85774287923178,40.06704877726237
