epoch,train_total,train_reconstruction,train_kl,validation_total,validation_reconstruction,validation_kl
1,283.1768167046441,273.42573826768665,9.751078638456486,254.77109623209634,244.18037422688803,10.590723152160644
2,249.39877265082464,238.55978476291233,10.838987572281448,248.0138009847005,236.69051989746094,11.323282254536947
3,244.5855139114945,233.7144956732856,10.871018153720431,244.3224033203125,233.22813712565105,11.094265502929687
4,242.17124215585213,231.30839528175636,10.862847119931821,242.7906631266276,231.78584688313802,11.004815854390463
5,240.6303455629702,229.74893286132811,10.88141239364059,240.8229735107422,230.20528576660155,10.617688362121582
6,239.39625854040077,228.47755543800636,10.91870270453559,240.0459921468099,228.77628686523437,11.269705078125
7,238.38822668909143,227.36435434751158,11.023872175146032,239.41384545898438,228.39548579915365,11.018360247294108
8,237.5772345332393,226.4959534821687,11.081280955844456,238.61505110677084,226.7921874593099,11.822862955729166
9,236.9419485044126,225.78454414876302,11.157404403686524,238.16120515950522,226.65736006673177,11.503845520019532
10,236.37124565067998,225.18747840259692,11.183767350373445,237.55822493489583,225.89353979492188,11.664684799194337
11,235.923136461046,224.71850546603733,11.204631284925673,237.11535685221355,225.73592635091146,11.379430257161458
12,235.45281025752314,224.17413172743056,11.27867818959554,236.76340563964843,225.65567500813802,11.107730728149415
13,235.1237593270761,223.7835560845269,11.34020297297725,236.46785913085938,225.14863163248697,11.319227198282878
14,234.77749058250146,223.39499356644242,11.382497039229781,236.12958964029949,224.71517704264323,11.414414136250814
15,234.45802829318578,223.07898951099537,11.379038773148148,235.8877899983724,224.89850073242187,10.989289309183757
16,234.1886655996817,222.78045235640914,11.408212962680393,235.8989502360026,224.1356572265625,11.763293523152669
17,233.97600006781684,222.55475058774596,11.421249736362034,235.54972806803386,224.4753444824219,11.074384539286296
18,233.7374199173539,222.31115408438222,11.426265885812265,235.43959399414064,223.9318320719401,11.507761375427247
19,233.60978082501447,222.15477615921586,11.455004918981482,235.5058037516276,223.76710066731772,11.738703122456869
20,233.3452933711299,221.8894873860677,11.455806340818052,234.97115112304687,223.4891794840495,11.481971827189128
