epoch,train_total,train_reconstruction,train_kl,validation_total,validation_reconstruction,validation_kl
1,301.5971268174913,282.2887134150752,4.827103436849735,278.81859724934895,256.4958046061198,5.580698244730631
2,274.84870503291376,251.92587008101853,5.730708613219084,273.98342008463544,250.1517712809245,5.957912595113118
3,272.17869974320024,248.55964695005065,5.904763303120931,272.2116947428385,248.28358829752605,5.982027113596598
4,270.5194454707393,246.32593863028066,6.0483767281991465,271.01694791666665,247.06171073404948,5.988808825174967
5,269.61401772280095,244.94502043999566,6.167249456052427,270.5223680826823,246.49334452311197,6.007256015777588
6,268.8656859040437,243.9023949517144,6.240822904092294,269.53137841796877,244.6318057454427,6.224893625895183
7,268.1973407298901,243.04097050871673,6.289092514885796,269.0632096354167,244.26729630533853,6.1989783147176105
8,267.7507213270399,242.4562017867477,6.323629814289235,269.0939928385417,242.9683076578776,6.531421309153239
9,267.4510268464265,241.9525819317853,6.37461116917928,268.64167635091144,243.6625498046875,6.244781663258871
10,267.10785827184606,241.45937944878472,6.412119857929371,267.8409784342448,241.6133594563802,6.556904809315999
11,266.794433042173,241.07076946343315,6.430915748596191,267.662546875,242.16822025553387,6.3735818150838215
12,266.62861542426214,240.75382397460936,6.468697947466815,267.5133338216146,240.71227795410155,6.7002640749613445
13,266.42439766890914,240.47740164749712,6.48674895675094,267.3421950683594,242.49755240885418,6.211160498301188
14,266.26773839427807,240.26319108072917,6.501136814823857,267.3262662760417,240.58071171061198,6.686388651529948
15,266.0695237991898,239.93102075195313,6.534625695263898,267.2704538574219,241.3887793782552,6.47041881942749
16,265.9214710015191,239.70860963722512,6.55321534149735,267.01279524739584,241.2932588297526,6.429884240468343
17,265.70882505063656,239.49960028754342,6.552306294335259,267.2281962076823,239.7942129720052,6.858495272318522
18,265.6472667281539,239.34783831108942,6.574857138315837,267.07176643880206,241.10266426595052,6.4922753372192386
19,265.5229935167101,239.14540642632377,6.5943968079178426,266.7270912272135,240.9854294840495,6.435415378570557
20,265.4164833260995,239.02212953016493,6.598588445734094,266.62013606770836,239.11861185709634,6.875380495707194
