epoch,train_total,train_reconstruction,train_kl,validation_total,validation_reconstruction,validation_kl
1,262.0996823730469,258.4952760326244,36.044061579677795,236.3369704996745,232.50064392089843,38.36327191162109
2,229.82845712167244,225.91198770706742,39.16469543344003,226.9528097330729,222.97999096679686,39.728184020996096
3,224.15800296585647,220.13498097511575,40.230218516031904,223.6959600830078,219.7021777750651,39.9378156636556
4,221.47597851110388,217.4176823730469,40.58296245433666,222.0870616048177,218.09515197753908,39.91909081013998
5,219.84969392451532,215.76210660355179,40.87587750470197,220.43394376627603,216.34155314127605,40.92389751180013
6,218.63530986418547,214.52235962366174,41.12950314670139,219.26115974934896,215.12686682128907,41.34293040974935
7,217.87963818359376,213.75714200846355,41.22496216724537,218.85437630208332,214.70283943684896,41.51536585489909
8,217.20058586064093,213.06765331127025,41.32932549031575,218.47370039876301,214.35772176106772,41.15978599039713
9,216.70026371708622,212.56067238136575,41.3959100805212,217.6156357421875,213.42167313639322,41.93963507080078
10,216.26727136230468,212.1228408203125,41.444306640625,217.44037353515625,213.30993672688803,41.30436151123047
11,215.89750653302227,211.7563064462167,41.41199894318757,217.0877597249349,212.981005859375,41.06753203328451
12,215.63399358000578,211.49026127115886,41.43732113760489,217.15864298502603,213.0622480061849,40.96395124308268
13,215.30981801124855,211.16224534324363,41.47572809290003,216.61655603027344,212.48138122558595,41.35174552408854
14,215.09368683087385,210.94424925401475,41.49437494800709,216.5327998046875,212.3570662841797,41.75734245808919
15,214.89159116843894,210.7420551848235,41.49535757898401,216.29291149902343,212.1605048828125,41.3240754292806
16,214.63855947536894,210.48933879032842,41.49220754778827,216.1299892578125,211.85249865722656,42.774901051839194
17,214.44018414080585,210.2903583577474,41.498259807445386,216.08677270507812,211.90968424479166,41.770877766927086
18,214.29133053023727,210.14439047128184,41.469401041666664,215.96001489257813,211.70540592447918,42.5460861714681
19,214.1695055248119,210.02200060583044,41.47504878065321,216.09829919433594,211.89210221354168,42.061970774332686
20,214.00045531322337,209.85207544397426,41.48379642514829,215.92152319335938,211.79181079101562,41.297128509521485
