epoch,train_total,train_reconstruction,train_kl,validation_total,validation_reconstruction,validation_kl
1,301.1815847258391,287.4801509241175,3.425358452245041,272.27871655273435,257.09286059570314,3.7964642365773518
2,267.73455149558737,252.0088072961878,3.9314359007234927,266.680226969401,250.72933256022137,3.987723457336426
3,264.1067740162037,248.23512934027778,3.967911042107476,263.9516630045573,247.634565633138,4.07927502822876
4,262.01817467357495,246.07223256655092,3.9864856541951497,263.03096557617187,246.45666625976563,4.1435747286478675
5,260.7667545844184,244.68273288755063,4.0210054052140976,261.52807653808594,245.41501778157553,4.028264911651611
6,259.9302506419994,243.6960933521412,4.05853928897999,260.88148905436196,244.36814367675782,4.1283365236918135
7,259.1973866554543,242.78008833369503,4.1043245632030345,260.92510856119793,244.698490234375,4.056654769897461
8,258.6943272750289,242.17479415780528,4.129883294988562,261.57379337565106,243.31547733561197,4.564579312642415
9,258.2877636402271,241.62038987449364,4.1668435202704535,259.5159170328776,242.0055450032552,4.3775928052266435
10,257.94251508246526,241.13671730324074,4.20144965645119,259.33772896321614,241.72134338378908,4.404096641540527
11,257.60176503725404,240.74122167064525,4.215136014302572,258.93093981933595,241.20309407552082,4.431961570739746
12,257.34282315176506,240.3476815592448,4.248785451818396,259.2049462890625,242.30865885416668,4.224071984608968
13,257.1990096209491,240.08424989601417,4.278689987323903,258.7207086995443,241.65007002766927,4.267659514109294
14,256.97031121148,239.7627574960214,4.301888424343533,258.7927962239583,241.9339072265625,4.214722255706787
15,256.70870086443864,239.55435119628908,4.288587220933702,258.39017545572915,241.7793545735677,4.152705013275146
16,256.6268668438947,239.3472017098886,4.319916395399305,258.3105182291667,240.76253658040363,4.386995070139567
17,256.4596842357494,239.14038957609955,4.329823801252577,257.88734411621095,240.519250773112,4.342022652943929
18,256.338690854673,238.97472807255497,4.340990734100342,258.3595236816406,241.88430212402343,4.118805422465006
19,256.19047494393806,238.8233402416088,4.341783820540817,258.08728145345054,240.29961588541667,4.446916465759277
20,256.0440013563368,238.63345283564814,4.352637232179995,257.84593233235677,240.53932185872395,4.32665239461263
