epoch,phase,loss,reconstruction,kl,beta
1,train,828.8385387369792,797.2390252278645,6.319902363459269,5.0
1,val,751.0509892578125,733.2837106119791,3.5534560546875,5.0
2,train,747.6792708333334,735.8990232747395,2.3560496543248495,5.0
2,val,735.9478074544271,728.7087412109375,1.447813939412435,5.0
3,train,738.7602399088541,730.5487708333334,1.6422940006256104,5.0
3,val,732.3371018880208,725.5437013346354,1.3586801726023356,5.0
4,train,731.2896735026042,727.099911295573,0.8379522827466329,5.0
4,val,730.3624313151041,726.8595704752604,0.700572208404541,5.0
5,train,729.4672379557292,726.6208971354166,0.5692681883176168,5.0
5,val,728.701770670573,726.2648307291666,0.48738779584566755,5.0
6,train,728.3628413085937,725.9880473632812,0.474958815574646,5.0
6,val,727.8977540690104,725.1119931640625,0.5571512104670207,5.0
7,train,727.881555501302,725.6727286783854,0.4417657597064972,5.0
7,val,727.3418662109375,725.2234710286458,0.4236802688439687,5.0
8,train,727.4437005208333,725.3321931966146,0.42230127040545146,5.0
8,val,727.1182084960938,724.9626744791667,0.43110618988672894,5.0
9,train,726.8350087890625,725.0437342122395,0.35825554895401,5.0
9,val,726.731024576823,725.1667602539062,0.3128530325094859,5.0
10,train,726.5749484049479,724.935975748698,0.3277946436405182,5.0
10,val,726.5019998372396,724.7879547526042,0.3428082276980082,5.0
11,train,726.3338912760416,724.7894889322916,0.3088805096944173,5.0
11,val,726.585645670573,725.1497333984375,0.28718178848425546,5.0
12,train,726.2906435546874,724.8050092773437,0.29712745547294617,5.0
12,val,726.1887473958334,724.6578720703125,0.30617481406529745,5.0
13,train,726.0961131184896,724.7317239583333,0.27287779287497205,5.0
13,val,726.2394609375,724.9988883463542,0.24811458869775135,5.0
14,train,726.0707669270834,724.7293131510417,0.2682904145320257,5.0
14,val,726.1711861979167,724.7734791666667,0.27954130073388417,5.0
15,train,726.0154993489583,724.8136554361979,0.24036916800340016,5.0
15,val,726.1095512695313,724.977270345052,0.22645625483989715,5.0
16,train,726.0783872070313,724.7816243489583,0.25935267595450084,5.0
16,val,726.108900390625,724.9371359049479,0.23435236291090647,5.0
17,train,725.9062612304688,724.5996046549479,0.26133135374387106,5.0
17,val,726.114963704427,724.9515862630209,0.23267502403259277,5.0
18,train,725.9723344726563,724.6205724283855,0.270352676431338,5.0
18,val,726.1791946614584,724.6125066731771,0.3133375130494436,5.0
19,train,725.9818344726563,724.6266430664062,0.27103821659088134,5.0
19,val,726.1543055013021,724.6349256184895,0.3038748716513316,5.0
20,train,725.8949244791667,724.6005073242187,0.25888384183247887,5.0
20,val,725.8602849934896,724.8144008789062,0.20917693253358205,5.0
