epoch,phase,loss,reconstruction,kl,beta
1,train,12752.358329101562,2874.426013671875,98779.32174862671,0.1
1,val,1640.4136474609375,1591.030697265625,493.82948486328127,0.1
2,train,1311.9203037109376,1277.2641923828126,346.56106469726564,0.1
2,val,1110.3128779296876,1080.264966796875,300.4791997070312,0.1
3,train,1002.3640805664063,974.0580825195312,283.0599775390625,0.1
3,val,917.4763120117187,889.1359145507812,283.4039040527344,0.1
4,train,869.8765908203125,842.2534736328125,276.2312058105469,0.1
4,val,800.8891069335938,773.4251206054688,274.6398718261719,0.1
5,train,781.80083203125,754.6854970703125,271.15333422851563,0.1
5,val,758.5232172851563,731.5188828125,270.0434001464844,0.1
6,train,722.1110615234375,694.3646416015625,277.46419921875,0.1
6,val,724.4636889648438,697.915880859375,265.4780255126953,0.1
7,train,689.7400473632813,662.315349609375,274.2469748535156,0.1
7,val,694.498287109375,667.446890625,270.5139598388672,0.1
8,train,653.007818359375,624.8972548828125,281.1055903320312,0.1
8,val,653.853447265625,626.43542578125,274.18032568359376,0.1
9,train,629.7903017578125,601.5714873046875,282.1880881347656,0.1
9,val,637.6966650390625,609.9778393554687,277.18830444335936,0.1
10,train,607.9825698242188,579.4897231445312,284.9284836425781,0.1
10,val,632.901521484375,605.0001240234375,279.0139609375,0.1
