checkpoint,model_type,beta,best_epoch,best_validation_loss,test_total,test_reconstruction,test_kl,processed_test_images
vae_beta_01.pt,VAE,0.1,20,215.92152319335938,216.78495053710938,212.665648828125,41.19301822509765,10000
vae_beta_1.pt,VAE,1.0,20,237.63259851074218,238.36881206054687,224.007813671875,14.36099764251709,10000
vae_beta_4.pt,VAE,4.0,20,266.62013606770836,267.2966642822266,240.02144313964843,6.81880525970459,10000
cvae_beta_01.pt,CVAE,0.1,20,215.86444698079427,216.71711293945313,212.72276645507813,39.94345704345703,10000
cvae_beta_1.pt,CVAE,1.0,20,234.97115112304687,235.6971227783203,224.30144853515625,11.395673759460449,10000
cvae_beta_4.pt,CVAE,4.0,20,257.84593233235677,258.35014826660154,241.1858247558594,4.291081658935547,10000
