epoch,phase,loss,reconstruction,kl,beta
1,train,776.2293624674479,770.8870794270833,53.4228254776001,0.1
1,val,751.390387532552,744.4448553059896,69.45532615152995,0.1
2,train,725.2137124023437,721.1913510742188,40.22359916178385,0.1
2,val,713.1997895507812,709.1592745768229,40.405131052653,0.1
3,train,705.8653592122396,701.9421590169271,39.231996551513674,0.1
3,val,697.5890359700521,693.4367290039063,41.52308316040039,0.1
4,train,694.7390179036458,690.6865756835938,40.52439088948568,0.1
4,val,690.8277615559896,686.6955322265625,41.322288187662764,0.1
5,train,689.1815571289062,685.1432390950521,40.38317768351237,0.1
5,val,686.7105541992188,682.7566915690104,39.538607574462894,0.1
6,train,685.7173618164062,681.6882057291666,40.29154728190104,0.1
6,val,684.8166204427083,680.8691468098958,39.47477694702148,0.1
7,train,683.2172265625,679.1915851236979,40.25640364583333,0.1
7,val,682.4397013346354,678.4021931966146,40.375079111735026,0.1
8,train,681.4530945638021,677.4432485351563,40.098448354085285,0.1
8,val,681.6217924804688,677.6668138020833,39.54982967122396,0.1
9,train,680.2405589192708,676.1944490559896,40.46111343383789,0.1
9,val,680.2863159179688,676.4017919921876,38.8452335917155,0.1
10,train,679.051371907552,675.0192262369792,40.32147210693359,0.1
10,val,679.8163704427084,675.7027286783854,41.13647797648112,0.1
11,train,678.3579615885417,674.3047260742187,40.532380035400394,0.1
11,val,679.079626139323,675.0161033528645,40.635258483886716,0.1
12,train,677.6235266927083,673.5774270833333,40.46103142293294,0.1
12,val,678.452138671875,674.3521630859375,40.9997624613444,0.1
13,train,677.0289340820312,672.974705078125,40.5422785949707,0.1
13,val,677.8086715494792,673.7791018880208,40.29572227986654,0.1
14,train,676.5607233072917,672.4984064127605,40.62319673665365,0.1
14,val,677.4499990234375,673.4840458984374,39.65954375203451,0.1
15,train,676.1067628580729,672.0509750976563,40.55786888631185,0.1
15,val,677.0097996419271,672.9596328125,40.50167179361979,0.1
16,train,675.7121051432292,671.6483802083334,40.637266143798826,0.1
16,val,676.7330283203125,672.6427980143229,40.90230084228516,0.1
17,train,675.4129814453125,671.3272192382813,40.85761759440104,0.1
17,val,676.6551357421876,672.5039820963542,41.5115968729655,0.1
18,train,675.0824059244792,671.0046780598958,40.77727685546875,0.1
18,val,676.1203984375,672.0928559570312,40.27540098063151,0.1
19,train,674.8519790039062,670.7849044596354,40.670745229085284,0.1
19,val,676.4858959960937,672.3492073567709,41.36690446980794,0.1
20,train,674.5279658203125,670.45538671875,40.725817474365236,0.1
20,val,676.6157153320313,672.4529085286458,41.628097798665365,0.1
