run_name,model_type,beta,best_epoch,validation_total,validation_reconstruction,validation_kl,test_total,test_reconstruction,test_kl,processed_test_images
vae_beta_01,VAE,0.1,20,215.92152319335935,211.7918107910156,41.297128509521485,216.78495053710935,212.665648828125,41.19301822509765,10000
vae_beta_1,VAE,1.0,20,237.63259851074216,223.18240197753903,14.450196957906089,238.36881206054687,224.007813671875,14.36099764251709,10000
vae_beta_4,VAE,4.0,20,266.6201360677084,239.11861185709637,6.875380495707194,267.2966642822266,240.02144313964843,6.81880525970459,10000
cvae_beta_01,CVAE,0.1,20,215.86444698079427,211.85774287923175,40.06704877726237,216.71711293945316,212.72276645507813,39.94345704345703,10000
cvae_beta_1,CVAE,1.0,20,234.97115112304687,223.4891794840495,11.481971827189128,235.6971227783203,224.30144853515625,11.395673759460449,10000
cvae_beta_4,CVAE,4.0,20,257.8459323323568,240.53932185872395,4.32665239461263,258.35014826660154,241.1858247558594,4.291081658935547,10000
