class_id,class_name,n_seeds,conditional_accuracy_mean,conditional_accuracy_std,conditional_accuracy_min,conditional_accuracy_max,pixel_pairwise_rms_all_mean,pixel_pairwise_rms_all_std,pixel_pairwise_rms_all_min,pixel_pairwise_rms_all_max,pixel_pairwise_rms_coherent_mean,pixel_pairwise_rms_coherent_std,pixel_pairwise_rms_coherent_min,pixel_pairwise_rms_coherent_max,feature_cosine_diversity_all_mean,feature_cosine_diversity_all_std,feature_cosine_diversity_all_min,feature_cosine_diversity_all_max,feature_cosine_diversity_coherent_mean,feature_cosine_diversity_coherent_std,feature_cosine_diversity_coherent_min,feature_cosine_diversity_coherent_max
0,T-shirt/top,3,0.8346666666666666,0.0037859388972001857,0.832,0.839,0.2707254764628327,0.0015799983592299119,0.26892801535998556,0.2718948451545522,0.26138194814585414,0.0027075507417868446,0.2591723718627853,0.2644022415748585,0.18725817104496748,0.011668554048409815,0.18011842899105956,0.200723658077679,0.14194831884100523,0.010208565121963742,0.13553294306218489,0.15372029403653542
1,Trouser,3,0.9886666666666667,0.0020816659994661343,0.987,0.991,0.22255152373553364,0.006296317461161765,0.2162355463293613,0.22882799534305762,0.22130212006953862,0.006064948608347117,0.21519367418975505,0.2273226147977546,0.08561027927092502,0.005827081402686372,0.08110812776398668,0.09219181129711684,0.07431778049988784,0.003797790017596413,0.07211971676647144,0.07870308622700917
2,Pullover,3,0.9056666666666667,0.039551653989856494,0.874,0.95,0.29579832620340074,0.0011813998326999499,0.29493559701631583,0.29714482976290263,0.29230292295620713,0.0018112330496265555,0.2903106059229501,0.29385005315024293,0.19948178545022954,0.014945155975613399,0.18234538935804423,0.20981509931807862,0.16319904930486384,0.0033230657137977475,0.16094824772380745,0.16701576667287854
3,Dress,3,0.8896666666666667,0.0030550504633038962,0.887,0.893,0.24989078217730232,0.0006966238981645746,0.24910477276074544,0.2504318637349089,0.24528396141252398,0.0006926473537050948,0.244486029551121,0.24573024451783612,0.22931865690135986,0.004703640886048629,0.22607680510103867,0.23471344491657897,0.20311719202710543,0.006055774246565878,0.1984845079253711,0.2099696205228636
4,Coat,3,0.347,0.033286633954186476,0.323,0.385,0.2843573325335866,0.004806757006450557,0.2805111924749808,0.2897459931195266,0.287160516869992,0.005796542804497186,0.2809205664930522,0.29237743577596237,0.2575234189893559,0.010396002203160348,0.24583368387194038,0.26573248439757025,0.231537885469569,0.009605872167007192,0.2254575166411299,0.2426120362934453
5,Sandal,3,0.7223333333333333,0.0045092497528228985,0.718,0.727,0.22638470049687628,0.0028803608479444553,0.223157134877461,0.22869389235430165,0.2165310788685165,0.004648327753312124,0.21301886407325277,0.22180218432107807,0.28371904559024785,0.008396622515988581,0.27402418512879745,0.2886690923438172,0.20639314676467035,0.010933378644078064,0.1961356349640624,0.21789578353302275
6,Shirt,3,0.7240000000000001,0.06322183167229498,0.656,0.781,0.2880425647972,0.0020276767433728064,0.2861630542997164,0.2901914739621169,0.273131219296014,0.0063112048894997256,0.2658470655550688,0.2769660015528937,0.3046874518721464,0.012256050445346776,0.29743090132396377,0.3188379715895653,0.2542930083104635,0.005017019415592171,0.2496346207421929,0.2596046595987831
7,Sneaker,3,0.87,0.04003748243833524,0.843,0.916,0.19819893137349812,0.0021846263320316264,0.1967845271623418,0.20071505242590706,0.18184586194602392,0.002478348757088127,0.17976106691626936,0.18458603295129775,0.1185215516838956,0.00909844157768117,0.10901378095423875,0.12714627170764292,0.09174647495817068,0.003893671702604256,0.08826383934432247,0.09595033539691422
8,Bag,3,0.9696666666666666,0.009609023536933058,0.961,0.98,0.3177288824997469,0.0035623490161228962,0.3137413723532949,0.32059736760940044,0.3156455575180726,0.003059651899482937,0.31212745827709343,0.317685147766593,0.19929543470830055,0.014067120820196911,0.1899159120953533,0.21547006888455056,0.18158085348849054,0.012128267368452406,0.16946783063816373,0.19372430810636265
9,Ankle boot,3,0.9903333333333334,0.005686240703077332,0.984,0.995,0.2747527740948703,0.0023056916661616856,0.27331396885585035,0.2774121750835894,0.2731976326310128,0.0016135838849481723,0.2720626320115701,0.27504477474575734,0.1023151380146518,0.009386016553646102,0.09177310906098579,0.1097648048043538,0.09604173630580974,0.008042737556872844,0.0882834118564838,0.10434152390625118
