epoch,phase,loss,reconstruction,kl,beta
1,train,11957.485626953125,2830.5603330078125,1825.385122833252,5.0
1,val,1802.7368330078125,1531.278857421875,54.291601013183595,5.0
2,train,1627.374994140625,1350.1828056640625,55.43843762207031,5.0
2,val,1460.46641796875,1180.2109560546876,56.05109103393555,5.0
3,train,1388.811482421875,1105.77803125,56.60669006347656,5.0
3,val,1368.452427734375,1075.8142841796875,58.5276298828125,5.0
4,train,1289.295001953125,1000.3179921875,57.795402679443356,5.0
4,val,1221.63985546875,941.5736127929688,56.01324923706055,5.0
5,train,1214.015609375,925.6587568359375,57.67136950683594,5.0
5,val,1213.5217861328124,944.7561064453125,53.75313677978516,5.0
6,train,1163.1467177734376,874.2918173828125,57.77098080444336,5.0
6,val,1184.5863193359376,892.2642768554688,58.46440728759766,5.0
7,train,1143.1163076171874,850.8601557617187,58.45122875976563,5.0
7,val,1185.774466796875,884.6407583007813,60.22674346923828,5.0
8,train,1112.39924609375,819.4547778320313,58.58889337158203,5.0
8,val,1102.832498046875,818.8247001953125,56.80155926513672,5.0
9,train,1097.8409599609374,800.7584858398437,59.41649249267578,5.0
9,val,1093.0790732421874,807.9240034179687,57.031012512207035,5.0
10,train,1082.6985703125,786.4109868164062,59.25751654052734,5.0
10,val,1105.632169921875,821.3219418945313,56.862050048828124,5.0
